,product_name,image,description,price
98,KAGOME 芒果混合汁,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029292481654939626.jpg,280ML,HK$9.00
99,KAGOME 芒果混合汁,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029292891654939631.jpg,720ML,HK$19.90
100,KAGOME 蕃茄汁,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029292141654939621.jpg,280ML,HK$9.00
101,KEYCOFFEE 深度烘焙混合即溶咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021675831654713166.jpg,90G,HK$53.90
102,KIRIN FIRE 烘焙黑咖啡,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,,HK$12.90
103,KIRIN 力水碳酸DHA飲品,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,300ML,HK$11.90
104,KIRIN 午後奶茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022501571654713771.jpg,1.5公升,HK$24.90
105,KIRIN 午後檸檬茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/5/2585834.jpg,1.5公升,HK$24.90
106,KIRIN 午後紅茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/5/2585842.jpg,1.5公升,HK$24.90
107,Les Vasco智利華詩歌赤霞珠紅酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022043601654713469.jpg,1pc,HK$129.00
108,Los Vasco 智利華詩歌雪當妮白酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0023500721654936819.jpg,1pc,HK$129.00
